   1.5235647e+03   1.8468372e+03   1.5899811e+03   1.6060322e+03
   1.8266927e+03   1.4472209e+03   1.8151716e+03   1.2433138e+03
   1.5117561e+03   1.8466230e+03   1.9394390e+03   1.0014429e+03
   6.1086627e+02   4.0461343e+02   7.1775519e+02   3.6796252e+02
   2.8015494e+02   6.5653296e+02   4.2893393e+02   6.0152924e+02
   1.0185953e+03   5.9576843e+02   1.0719160e+03   5.2368579e+02
   1.4408801e+03   1.2390913e+03   8.0350970e+02   1.7395349e+03
   1.8336763e+02   1.4259950e+03   3.9527911e+02   1.2874142e+03
   1.0482675e+03   1.0136383e+03   2.0357382e+03   9.9094580e+02
   1.6630951e+02   1.5670427e+03   3.8885019e+02   1.4121565e+03
   1.6408165e+02   1.5680303e+03   3.8631128e+02   1.4128566e+03
   6.7472491e+02   1.7249896e+03   8.4423450e+02   1.5328951e+03
   7.9775995e+02   1.7853193e+03   9.5297577e+02   1.5794181e+03
   1.1387246e+03   6.7502704e+02   1.1848146e+03   5.9532788e+02
   2.0332769e+03   1.4989642e+03   2.0151434e+03   1.3836389e+03
   3.4470789e+02   1.3408640e+03   5.3275238e+02   1.2028916e+03
   1.7561415e+03   1.4689214e+03   1.7494734e+03   1.2652953e+03
   3.0141284e+02   8.6230707e+02   4.5967526e+02   7.8371338e+02
   9.9229150e+02   6.1711389e+02   1.0574379e+03   5.4272864e+02
   2.6716776e+02   1.4975508e+03   4.7453177e+02   1.3471925e+03
   1.2698577e+03   1.8744327e+03   7.0215509e+02   1.4996649e+03
   2.0941002e+02   4.5830859e+02   4.2580392e+02   1.0644802e+03
   1.2631075e+03   1.8749252e+03   1.3639835e+03   1.6391592e+03
   2.2844070e+03   1.4973414e+03   2.2510203e+03   7.7389050e+02
   2.1223765e+03   9.7668201e+02   2.0584380e+03   8.2129169e+02
   8.9482185e+01   1.5431963e+03   3.1978592e+02   1.3937957e+03
   8.3871161e+02   1.2466416e+03   9.6305170e+02   1.1045330e+03
   1.0762441e+03   8.6760443e+02   1.1332521e+03   7.6053339e+02
   1.8480897e+03   1.4402250e+03   1.8317971e+03   1.2379066e+03
   3.0113287e+02   1.4992704e+03   5.0385208e+02   1.3473063e+03
   1.9319999e+03   9.9391663e+02   1.8886730e+03   8.4250983e+02
   4.1111301e+02   5.8587665e+02   7.1802612e+02   1.4889637e+03
   5.2272729e+02   6.1930072e+02   6.4866327e+02   5.6090338e+02
   2.4989407e+03   7.3077533e+02   2.3746592e+03   5.8866998e+02
   3.4867896e+02   1.4664244e+03   5.4451318e+02   1.3158838e+03
   1.7824087e+01   6.5886755e+02   1.8858725e+02   6.1262817e+02
   1.0749292e+03   8.6642603e+02   1.1332521e+03   7.6053339e+02
   1.2387953e+02   6.5276184e+02   2.8667789e+02   6.0289984e+02
   1.8612784e+03   1.0186464e+03   1.8228883e+03   8.6564398e+02
   1.6425051e+03   1.4028264e+03   1.9528656e+02   8.1947174e+02
   2.7626761e+02   1.3322147e+03   4.7148828e+02   1.2001725e+03
   2.9807013e+02   1.4849636e+03   5.0122858e+02   1.3346919e+03
   1.0270381e+03   7.1474207e+02   2.2613479e+03   1.9499750e+03
   1.9977089e+03   1.4682427e+03   3.6411171e+01   9.5181165e+02
   1.6536855e+03   1.7181008e+03   1.7667150e+03   1.9084386e+03
   9.5043633e+01   1.5416537e+03   3.1978592e+02   1.3937957e+03
   4.2947971e+02   7.6025220e+02   5.7466980e+02   6.9064850e+02
   1.1027310e+03   8.7782245e+02   1.1614443e+03   7.6935480e+02
   1.5284202e+03   8.4272882e+02   2.2355576e+03   2.0987339e+03
   2.4308904e+03   8.3724506e+02   1.8982000e+03   1.9489990e+03
